characters_araber;Araber
characters_arzt;Arzt
characters_butler;Butler
characters_ohi;Ohi
texts_a18_nebendeck_ausgang_hinterdeck_mo_leave_1;Go to the rear deck
sequences_a18_nebendeck_ausgang_hinterdeck_leave_1#1;[The Arab looks in direction of the front deck, then towards rear deck. Finally he decides to go towards rear deck.]
sequences_a18_nebendeck_ausgang_hinterdeck_leave_1#2;"[The following is the sequence ""attack on Arab"".]"
texts_a18_nebendeck_ausgang_oberdeck_mo_leave_1;Search the upper deck
sequences_a18_nebendeck_ausgang_oberdeck_leave_1#1;[The Arab goes some tentative steps towards the stairs.]
sequences_a18_nebendeck_ausgang_oberdeck_leave_1#2;"[Sequence ""Angriff_auf_Araber"" is played.]"
texts_a18_nebendeck_ausgang_treppensaal_mo_leave_1;Go back
spokentexts_a18_nebendeck_ausgang_treppensaal_leave_1_st_1;No. He must be around here somewhere!
texts_a18_nebendeck_ausgang_vorderdeck_mo_leave_1;Go to the forecastle
sequences_a18_nebendeck_ausgang_vorderdeck_leave_1#1;[The Arab looks in direction of the front deck, then towards rear deck. Finally he decides to go towards front deck.]
sequences_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber#0;[The doctor had been hiding behind the left door. He runs towards the surprised Arab.]
sequences_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber#1;[The two clash, and the doctor manages to push the Arab half over the railing.]
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_1_direction;hard fighting
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_1;No!
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_2_direction;hard fighting
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_2;Why... can't you just... leave me alone?!
sequences_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber#4;[The doctor grabs the Arab higher and finally pushes him over the railing. The Arab can grab the end of the gangway to and to holds itself  on it. ]
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_3_direction;panting, exhausted
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_3;H-hhh!
sequences_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber#6;[The doctor staggers towards them front deck, while the Arab painfully pulls himself on the gangway, then climbs over the railing and the resumes the persuit.]
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_4_direction;breathe heavily, then heave up
spokentexts_a18_nebendeck_seq_a18_nebendeck_angriff_auf_araber_st_4;Fff-fff. Arg!
sequences_a18_nebendeck_seq_a18_nebendeck_jagd_ankunft#0;[The Arab comes into the scene, becomes slow, and stand searching for something. He stays in his hunting-Pose breathing heavily (idle).]
spokentexts_a18_nebendeck_seq_a18_nebendeck_jagd_ankunft_st_1;Where are you?
sequences_a18_nebendeck_seq_a18_nebendeck_jagd_ankunft#2;[The player once again takes control.]
texts_a18_treppensaal_ausgang_nebendeck_mo_leave_1;Go to the side deck
sequences_a18_treppensaal_ausgang_nebendeck_leave_1#1;[The Arab is not running immediatley. He walks cautiously but nevertheless fast past the saloon (so nobody will notice him from inside). Once he's past the saloon, he runs off and turns into the side deck.]
texts_a18_treppensaal_treppe_mo_leave_1;Go back
spokentexts_a18_treppensaal_treppe_leave_1_st_1_direction;on the hunt
spokentexts_a18_treppensaal_treppe_leave_1_st_1;No. I won't let the good doctor get away!
texts_a18_treppensaal_tuer_salon_mo_leave_1;Enter the saloon
spokentexts_a18_treppensaal_tuer_salon_leave_1_st_1_direction;on the hunt
spokentexts_a18_treppensaal_tuer_salon_leave_1_st_1;I can see Legrand in the saloon. I don't think Gebhardt would have gone there.
